Name,lvl2playertime,lvl2aitime,lvl2idle,lvl2playeraitime,lvl3score,lvl3aitime,lvl3idle,lvl4score,lvl4aitime,lvl4idle,lvl5score,lvl5totalshot,lvl5left,lvl5right,lvl5total
Poh,28.14507,18.25082,3.173801,1.542126326,9,10.15525,4.936996,13,13.4775,2.458101,6,6,2,4,-2
bask,32.25902,18.57401,4.522,1.736782741,13,10.971,9.412006,17,17.93496,4.942003,4,4,4,0,4
bask,28.373,15.189,5.217,1.867996576,11,11.031,8.084005,14,16.67797,6.773005,5,5,5,0,5
Poh,24.20908,16.39852,3.4399,1.476296641,12,12.92052,4.927999,18,15.71958,3.682403,3,7,7,0,7
bask,22.7,11.874,4.739,1.911739936,13,12.51999,9.435999,16,18.34398,5.613006,5,5,5,0,5
bask,39.39202,15.64899,6.284998,2.517224434,10,14.06,11.66702,16,14.98099,6.276007,3,5,4,1,3
bask,52.00704,22.18501,9.679996,2.344242351,12,12.73799,10.252,14,14.65798,8.510011,5,6,5,1,4
Poh,56.54608,35.81678,8.634497,1.578759453,9,24.33415,9.86286,16,32.77345,4.8228,6,7,3,4,-1
Poh,79.56916,55.44133,10.5376,1.435195729,9,35.1755,12.89392,18,49.89381,5.779097,4,8,7,1,6
Poh,22.82548,17.0506,2.0837,1.338690721,12,12.39732,4.040702,17,15.63908,2.044699,2,8,6,2,4
